156,State,IA,Joint,33520,0.0596
157,State,IA,Joint,50280,0.0625
158,State,IA,Joint,75420,0.0744
159,State,IA,Joint,0,0.0853
160,State,KS,Single,15000,0.031
161,State,KS,Single,30000,0.0525
162,State,KS,Single,0,0.057
163,State,KS,Joint,30000,0.031
164,State,KS,Joint,60000,0.0525
165,State,KS,Joint,0,0.057
166,State,KY,Single,0,0.05
167,State,KY,Joint,0,0.05
168,State,LA,Single,12500,0.02
169,State,LA,Single,50000,0.04
170,State,LA,Single,0,0.06
171,State,LA,Joint,12500,0.02
172,State,LA,Joint,50000,0.04
173,State,LA,Joint,0,0.06
174,State,ME,Single,22450,0.058
175,State,ME,Single,53150,0.0675
176,State,ME,Single,0,0.0715
177,State,ME,Joint,44950,0.058
178,State,ME,Joint,106350,0.0675
179,State,ME,Joint,0,0.0715
180,State,MD,Single,1000,0.02
181,State,MD,Single,2000,0.03
182,State,MD,Single,3000,0.04
183,State,MD,Single,100000,0.0475
184,State,MD,Single,125000,0.05
185,State,MD,Single,150000,0.0525
186,State,MD,Single,250000,0.055
187,State,MD,Single,0,0.0575
188,State,MD,Joint,1000,0.02
189,State,MD,Joint,2000,0.03
190,State,MD,Joint,3000,0.04
191,State,MD,Joint,150000,0.0475
192,State,MD,Joint,175000,0.05
193,State,MD,Joint,225000,0.0525
194,State,MD,Joint,300000,0.055
195,State,MD,Joint,0,0.0575
196,State,MA,None,0,0
197,State,MI,Single,0,0.0425
198,State,MI,Joint,0,0.0425
199,State,MN,Single,27230,0.0535
200,State,MN,Single,89440,0.068
201,State,MN,Single,166040,0.0785
202,State,MN,Single,0,0.0985
203,State,MN,Joint,39810,0.0535
204,State,MN,Joint,158140,0.068
205,State,MN,Joint,276200,0.0785
206,State,MN,Joint,0,0.0985
207,State,MS,Single,4000,0
208,State,MS,Single,5000,0.03
209,State,MS,Single,10000,0.04
210,State,MS,Single,0,0.05
211,State,MS,Joint,4000,0
212,State,MS,Joint,5000,0.03
213,State,MS,Joint,10000,0.04
214,State,MS,Joint,0,0.05
215,State,MO,Single,107,0
216,State,MO,Single,1073,0.015
217,State,MO,Single,2146,0.02
218,State,MO,Single,3219,0.025
219,State,MO,Single,4292,0.03
220,State,MO,Single,5365,0.035
221,State,MO,Single,6438,0.04
222,State,MO,Single,7511,0.045
223,State,MO,Single,8584,0.05
224,State,MO,Single,0,0.054
225,State,MO,Joint,107,0
226,State,MO,Joint,1073,0.015
227,State,MO,Joint,2146,0.02
228,State,MO,Joint,3219,0.025
229,State,MO,Joint,4292,0.03
230,State,MO,Joint,5365,0.035
231,State,MO,Joint,6438,0.04
232,State,MO,Joint,7511,0.045
233,State,MO,Joint,8584,0.05
234,State,MO,Joint,0,0.054
235,State,MT,Single,3100,0.01
236,State,MT,Single,5500,0.02
237,State,MT,Single,8400,0.03
238,State,MT,Single,11300,0.04
239,State,MT,Single,14500,0.05
240,State,MT,Single,18700,0.06
241,State,MT,Single,0,0.069
242,State,MT,Joint,3100,0.01
243,State,MT,Joint,5500,0.02
244,State,MT,Joint,8400,0.03
245,State,MT,Joint,11300,0.04
246,State,MT,Joint,14500,0.05
247,State,MT,Joint,18700,0.06
248,State,MT,Joint,0,0.069
249,State,NE,Single,3340,0.0246
250,State,NE,Single,19990,0.0351
251,State,NE,Single,32210,0.0501
252,State,NE,Single,0,0.0684
253,State,NE,Joint,6660,0.0246
254,State,NE,Joint,39990,0.0351
255,State,NE,Joint,64430,0.0501
256,State,NE,Joint,0,0.0684
257,State,NV,None,0,0
258,State,NH,Single,0,0.05
259,State,NH,Joint,0,0.05
260,State,NC,Single,0,0.0525
261,State,NC,Joint,0,0.0525
262,State,NJ,Single,20000,0.014
263,State,NJ,Single,35000,0.0175
264,State,NJ,Single,40000,0.035
265,State,NJ,Single,75000,0.0553
266,State,NJ,Single,500000,0.0637
267,State,NJ,Single,1000000,0.0897
268,State,NJ,Single,0,0.1075
269,State,NJ,Joint,20000,0.014
270,State,NJ,Joint,50000,0.0175
271,State,NJ,Joint,70000,0.0245
272,State,NJ,Joint,80000,0.035
273,State,NJ,Joint,150000,0.0553
274,State,NJ,Joint,500000,0.0637
275,State,NJ,Joint,1000000,0.0897
276,State,NJ,Joint,0,0.1075
277,State,NM,Single,5500,0.017
278,State,NM,Single,11000,0.032
279,State,NM,Single,16000,0.047
280,State,NM,Single,210000,0.049
281,State,NM,Single,0,0.059
282,State,NM,Joint,8000,0.017
283,State,NM,Joint,16000,0.032
284,State,NM,Joint,24000,0.047
285,State,NM,Joint,315000,0.049
286,State,NM,Joint,0,0.059
287,State,NY,Single,8500,0.04
288,State,NY,Single,11700,0.045
289,State,NY,Single,13900,0.0525
290,State,NY,Single,21400,0.059
291,State,NY,Single,80650,0.0597
292,State,NY,Single,215400,0.0633
