151,State,Joint,75420,0.0744,IA
152,State,Joint,0,0.0853,IA
153,State,Single,15000,0.0310,KS
154,State,Single,30000,0.0525,KS
155,State,Single,0,0.0570,KS
156,State,Joint,30000,0.0310,KS
157,State,Joint,60000,0.0525,KS
158,State,Joint,0,0.0570,KS
159,State,Single,0,0.0500,KY
160,State,Joint,0,0.0500,KY
161,State,Single,12500,0.0200,LA
162,State,Single,50000,0.0400,LA
163,State,Single,0,0.0600,LA
164,State,Joint,12500,0.0200,LA
165,State,Joint,50000,0.0400,LA
166,State,Joint,0,0.0600,LA
167,State,Single,22450,0.0580,ME
168,State,Single,53150,0.0675,ME
169,State,Single,0,0.0715,ME
170,State,Joint,44950,0.0580,ME
171,State,Joint,106350,0.0675,ME
172,State,Joint,0,0.0715,ME
173,State,Single,1000,0.0200,MD
174,State,Single,2000,0.0300,MD
175,State,Single,3000,0.0400,MD
176,State,Single,100000,0.0475,MD
177,State,Single,125000,0.0500,MD
178,State,Single,150000,0.0525,MD
179,State,Single,250000,0.0550,MD
180,State,Single,0,0.0575,MD
181,State,Joint,1000,0.0200,MD
182,State,Joint,2000,0.0300,MD
183,State,Joint,3000,0.0400,MD
184,State,Joint,150000,0.0475,MD
185,State,Joint,175000,0.0500,MD
186,State,Joint,225000,0.0525,MD
187,State,Joint,300000,0.0550,MD
188,State,Joint,0,0.0575,MD
189,State,None,0,0.0000,MA
190,State,Single,0,0.0425,MI
191,State,Joint,0,0.0425,MI
192,State,Single,27230,0.0535,MN
193,State,Single,89440,0.0680,MN
194,State,Single,166040,0.0785,MN
195,State,Single,0,0.0985,MN
196,State,Joint,39810,0.0535,MN
197,State,Joint,158140,0.0680,MN
198,State,Joint,276200,0.0785,MN
199,State,Joint,0,0.0985,MN
200,State,Single,4000,0.0000,MS
201,State,Single,5000,0.0300,MS
202,State,Single,10000,0.0400,MS
203,State,Single,0,0.0500,MS
204,State,Joint,4000,0.0000,MS
205,State,Joint,5000,0.0300,MS
206,State,Joint,10000,0.0400,MS
207,State,Joint,0,0.0500,MS
208,State,Single,107,0.0000,MO
209,State,Single,1073,0.0150,MO
210,State,Single,2146,0.0200,MO
211,State,Single,3219,0.0250,MO
212,State,Single,4292,0.0300,MO
213,State,Single,5365,0.0350,MO
214,State,Single,6438,0.0400,MO
215,State,Single,7511,0.0450,MO
216,State,Single,8584,0.0500,MO
217,State,Single,0,0.0540,MO
218,State,Joint,107,0.0000,MO
219,State,Joint,1073,0.0150,MO
220,State,Joint,2146,0.0200,MO
221,State,Joint,3219,0.0250,MO
222,State,Joint,4292,0.0300,MO
223,State,Joint,5365,0.0350,MO
224,State,Joint,6438,0.0400,MO
225,State,Joint,7511,0.0450,MO
226,State,Joint,8584,0.0500,MO
227,State,Joint,0,0.0540,MO
228,State,Single,3100,0.0100,MT
229,State,Single,5500,0.0200,MT
230,State,Single,8400,0.0300,MT
231,State,Single,11300,0.0400,MT
232,State,Single,14500,0.0500,MT
233,State,Single,18700,0.0600,MT
234,State,Single,0,0.0690,MT
235,State,Joint,3100,0.0100,MT
236,State,Joint,5500,0.0200,MT
237,State,Joint,8400,0.0300,MT
238,State,Joint,11300,0.0400,MT
239,State,Joint,14500,0.0500,MT
240,State,Joint,18700,0.0600,MT
241,State,Joint,0,0.0690,MT
242,State,Single,3340,0.0246,NE
243,State,Single,19990,0.0351,NE
244,State,Single,32210,0.0501,NE
245,State,Single,0,0.0684,NE
246,State,Joint,6660,0.0246,NE
247,State,Joint,39990,0.0351,NE
248,State,Joint,64430,0.0501,NE
249,State,Joint,0,0.0684,NE
250,State,None,0,0.0000,NV
251,State,Single,0,0.0500,NH
252,State,Joint,0,0.0500,NH
253,State,Single,0,0.0525,NC
254,State,Joint,0,0.0525,NC
255,State,Single,20000,0.0140,NJ
256,State,Single,35000,0.0175,NJ
257,State,Single,40000,0.0350,NJ
258,State,Single,75000,0.0553,NJ
259,State,Single,500000,0.0637,NJ
260,State,Single,1000000,0.0897,NJ
261,State,Single,0,0.1075,NJ
262,State,Joint,20000,0.0140,NJ
263,State,Joint,50000,0.0175,NJ
264,State,Joint,70000,0.0245,NJ
265,State,Joint,80000,0.0350,NJ
266,State,Joint,150000,0.0553,NJ
267,State,Joint,500000,0.0637,NJ
268,State,Joint,1000000,0.0897,NJ
269,State,Joint,0,0.1075,NJ
270,State,Single,5500,0.0170,NM
271,State,Single,11000,0.0320,NM
272,State,Single,16000,0.0470,NM
273,State,Single,210000,0.0490,NM
274,State,Single,0,0.0590,NM
275,State,Joint,8000,0.0170,NM
276,State,Joint,16000,0.0320,NM
277,State,Joint,24000,0.0470,NM
278,State,Joint,315000,0.0490,NM
279,State,Joint,0,0.0590,NM
280,State,Single,8500,0.0400,NY
281,State,Single,11700,0.0450,NY
282,State,Single,13900,0.0525,NY
283,State,Single,21400,0.0590,NY
284,State,Single,80650,0.0597,NY
285,State,Single,215400,0.0633,NY
286,State,Single,1077550,0.0685,NY
287,State,Single,0,0.0882,NY
288,State,Joint,17150,0.0400,NY
289,State,Joint,23600,0.0450,NY
290,State,Joint,27900,0.0525,NY
291,State,Joint,43000,0.0590,NY
292,State,Joint,161550,0.0597,NY
293,State,Joint,323200,0.0633,NY
294,State,Joint,2155350,0.0685,NY
295,State,Joint,0,0.0882,NY
296,State,Single,40125,0.0110,ND
297,State,Single,97150,0.0204,ND
298,State,Single,202650,0.0227,ND
299,State,Single,440600,0.0264,ND
300,State,Single,0,0.0290,ND
301,State,Joint,67050,0.0110,ND
302,State,Joint,161950,0.0204,ND
303,State,Joint,246700,0.0227,ND
304,State,Joint,440600,0.0264,ND
305,State,Joint,0,0.0290,ND
306,State,Single,22150,0.0000,OH
307,State,Single,44250,0.0285,OH
308,State,Single,88450,0.0333,OH
309,State,Single,110650,0.0380,OH
310,State,Single,221300,0.0441,OH
311,State,Single,0,0.0480,OH
312,State,Joint,22150,0.0000,OH
313,State,Joint,44250,0.0285,OH
314,State,Joint,88450,0.0333,OH
315,State,Joint,110650,0.0380,OH
316,State,Joint,221300,0.0441,OH
317,State,Joint,0,0.0480,OH
318,State,Single,1000,0.0050,OK
319,State,Single,2500,0.0100,OK
320,State,Single,3750,0.0200,OK
321,State,Single,4900,0.0300,OK
322,State,Single,7200,0.0400,OK
323,State,Single,0,0.0500,OK
324,State,Joint,2000,0.0050,OK
325,State,Joint,5000,0.0100,OK
326,State,Joint,7500,0.0200,OK
327,State,Joint,9800,0.0300,OK
328,State,Joint,12200,0.0400,OK
329,State,Joint,0,0.0500,OK
330,State,Single,3650,0.0475,OR
331,State,Single,9200,0.0675,OR
332,State,Single,125000,0.0875,OR
333,State,Single,0,0.0990,OR
334,State,Joint,7300,0.0475,OR
335,State,Joint,18400,0.0675,OR
336,State,Joint,250000,0.0875,OR
337,State,Joint,0,0.0990,OR
338,State,Single,0,0.0525,PA
339,State,Joint,0,0.0307,PA
340,State,Single,66200,0.0375,RI
341,State,Single,150550,0.0475,RI
342,State,Single,0,0.0599,RI
343,State,Joint,66200,0.0375,RI
